reep_id,key_wikidata,name,country,founded,stadium,key_transfermarkt,key_fbref,key_soccerway,key_opta,key_kicker,key_flashscore,key_sofascore,key_soccerbase,key_uefa,key_footballdatabase_eu,key_worldfootball,key_espn,key_playmakerstats,key_clubelo,key_sportmonks,key_api_football,key_sofifa,key_fotmob,key_thesportsdb,key_understat,key_opta_numeric
reep_t3e0b5345,Q1653560,IF Heimer,Sweden,1906-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_t6797e521,Q3142356,IF Huginn,Iceland,1998-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_ted229c52,Q1540765,IF Limhamn Bunkeflo,Sweden,2008-01-01,Limhamns IP,,,,,,,,,,,,,,,,,,,,,
reep_tb44c66e5,Q28233695,IF Limhamn Bunkeflo,Sweden,2008-01-01,Limhamns IP,,,,,,,,,,,,,,,,,,,,,
reep_t8421fd6a,Q51128066,IF Lyseng Fodbold,Denmark,,,,,,,,,,,,,,,,,,,,,,,
reep_tbb463887,Q1585208,IF Rune,Sweden,1908-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_t47303706,Q1653563,IF Saab,Sweden,1941-07-08,Saab Arena,,,,,,,,,,,,,,,,,,,,,
reep_t01dcd4cb,Q5970905,IF Sibbo-Vargarna,Finland,1928-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_t55ebb900,Q2278167,IF Skarp,Norway,1919-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_t705eaecd,Q12318089,IF Skjold Birkerød,Denmark,1917-01-01,,,,,,,,,,,1319,,,,,,,,,,,
reep_tc387b3f7,Q1653573,IF Trion,Sweden,1935-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_te30baede,Q5970912,IF Tønsberg-Kameratene,Norway,1917-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_t13047ab6,Q9195504,IF VP Uppsala,Sweden,1963-01-07,,,,,,,,,,,,,,,,,,,,,,
reep_tee8e9150,Q1653585,IF Verdandi,Sweden,1900-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_t03d3102b,Q1653587,IF Viken,Sweden,1922-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_t82b2ddb2,Q11976883,IF Viking (Kristiania),Norway,1902-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_t2504a3e0,Q5970919,IF Väster,Sweden,1973-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_t560c209d,Q5970920,IF Warta,Sweden,1929-01-01,,,,,,,,,,,,,,,,,,,,,,
reep_t864d8eef,Q18346597,IFC Marcali,Hungary,,,,,,,,,,,,,,,,,,,,,,,
reep_t3af39fdb,Q16841095,IFC Wild Bills,United States,2007-01-01,Oleai Sports Complex,,,,,,,,,,,,,,,,,,,,,
